analysis_family,condition,response_label,contrast,n,mean_diff,t_value,p_value,cohens_dz,p_value_holm
response_direction,item_only,old,post-mid,56,-0.005357142857142847,-0.24919894243213783,0.8041351966999335,-0.03330060941883795,1.0
response_direction,item_only,old,post-pre,56,0.0071428571428571504,0.3801929104360851,0.7052665418550026,0.05080541470472362,1.0
response_direction,both,old,post-mid,49,-0.07346938775510205,-3.3363798669282976,0.0016446930532766381,-0.4766256952754711,0.02795978190570285
response_direction,both,old,post-pre,49,-0.05102040816326532,-2.5353722167946966,0.01454486233023241,-0.36219603097067093,0.21817293495348614
response_direction,task_only,old,post-mid,53,-0.037735849056603765,-1.8012986155230652,0.07745528158549157,-0.247427393668241,0.8520080974404073
response_direction,task_only,old,post-pre,53,-0.061320754716981146,-2.693713706624829,0.009489978727550525,-0.3700100338583,0.1518396596408084
response_direction,item_only,similar,post-mid,56,0.007142857142857144,0.39898568936539475,0.6914487050803068,0.053316705422540085,1.0
response_direction,item_only,similar,post-pre,56,0.0008928571428571416,0.05566342596887179,0.9558116545570611,0.007438338176770485,1.0
response_direction,both,similar,post-mid,49,0.03877551020408163,2.1073204763286166,0.04033959204549085,0.3010457823326595,0.5244146965913811
response_direction,both,similar,post-pre,49,-0.0040816326530612205,-0.20933372728814892,0.8350736374130905,-0.029904818184021274,1.0
response_direction,task_only,similar,post-mid,53,0.022641509433962273,1.111870303617009,0.2713081603961305,0.15272713194263246,1.0
response_direction,task_only,similar,post-pre,53,0.04528301886792453,2.1001293689246854,0.04058617274695532,0.28847495448069915,0.5244146965913811
response_direction,item_only,new,post-mid,56,-0.0017857142857142874,-0.11406836610441064,0.9095989852599369,-0.015243026593992941,1.0
response_direction,item_only,new,post-pre,56,-0.008035714285714285,-0.6770380283412049,0.5012196655537884,-0.0904730121382048,1.0
response_direction,both,new,post-mid,49,0.03469387755102041,2.2463745497310006,0.02931731142935461,0.32091064996157154,0.4104423600109645
response_direction,both,new,post-pre,49,0.05510204081632653,4.06943985675572,0.00017488021341558464,0.5813485509651029,0.0031478438414805233
response_direction,task_only,new,post-mid,53,0.015094339622641513,1.152279417318345,0.25447623761639715,0.15827775058931468,1.0
response_direction,task_only,new,post-pre,53,0.016037735849056607,1.341551519339424,0.1855710914013789,0.1842762732626839,1.0
