condition,boundary,response_label,mean_rate,se,n
item_only,post,old,0.6696428571428571,0.024264457847987697,56
item_only,mid,old,0.6749999999999999,0.021994686489382697,56
item_only,pre,old,0.6625,0.020711766528407775,56
both,post,old,0.6061224489795919,0.023174537998408466,49
both,mid,old,0.6795918367346938,0.02327913868534267,49
both,pre,old,0.657142857142857,0.020926661703865413,49
task_only,post,old,0.5943396226415094,0.02706159913239583,53
task_only,mid,old,0.6320754716981132,0.024912558968935718,53
task_only,pre,old,0.6556603773584906,0.025721108658480384,53
item_only,post,similar,0.2357142857142857,0.0164017284939157,56
item_only,mid,similar,0.2285714285714286,0.01854518625438007,56
item_only,pre,similar,0.23482142857142854,0.015858528516736383,56
both,post,similar,0.2530612244897959,0.01835080509835682,49
both,mid,similar,0.21428571428571427,0.01934294858246657,49
both,pre,similar,0.2571428571428571,0.019615782206290573,49
task_only,post,similar,0.29245283018867924,0.022594593385256823,53
task_only,mid,similar,0.269811320754717,0.019348028192115927,53
task_only,pre,similar,0.2471698113207547,0.01794075348457753,53
item_only,post,new,0.09464285714285714,0.014340398583717561,56
item_only,mid,new,0.09642857142857143,0.014007021827725364,56
item_only,pre,new,0.10267857142857142,0.014881547607143332,56
both,post,new,0.14081632653061224,0.01403602245721869,49
both,mid,new,0.10612244897959185,0.013803825773947636,49
both,pre,new,0.08571428571428572,0.011387575279588684,49
task_only,post,new,0.11320754716981132,0.02180826460979155,53
task_only,mid,new,0.09811320754716982,0.021633335501449084,53
task_only,pre,new,0.09716981132075472,0.021271923478675465,53
